Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
85173872,The Wishing Pool and Other Stories,Tananarive Due,"Due, Tananarive",,"=""1636141056""","=""9781636141053""",0,4.12,Akashic Books,Hardcover,296,2023,2023,,2023/04/18,"to-read, horror, short-stories-single-author, wbtm","to-read (#449), horror (#305), short-stories-single-author (#103), wbtm (#203)",to-read,,,,0,0
26067203,"The Ruin of Gabriel Ashleigh (Society of Gentlemen, #0.5)",K.J. Charles,"Charles, K.J.",,"=""1101968680""","=""9781101968680""",4,4.14,Loveswept,ebook,32,2015,2015,,2023/04/18,"short-stories-novelettes, romance, queer","short-stories-novelettes (#70), romance (#56), queer (#138)",read,,,,1,0
30373933,"A Confidential Problem (Society of Gentlemen, #2.5)",K.J. Charles,"Charles, K.J.",,"=""""","=""""",3,3.87,,ebook,14,2016,2016,,2023/04/18,"short-stories-novelettes, queer","short-stories-novelettes (#69), queer (#137)",read,,,,1,0
33521283,A Private Miscellany (Society of Gentlemen #3.5),K.J. Charles,"Charles, K.J.",,"=""""","=""""",4,4.13,KJ Charles,ebook,25,2016,2016,,2023/04/18,"short-stories-novelettes, romance, queer","short-stories-novelettes (#68), romance (#55), queer (#136)",read,,,,1,0
34870160,"Rag and Bone (Rag and Bone, #1)",K.J. Charles,"Charles, K.J.",,"=""""","=""9780995799066""",3,4.06,,ebook,202,2017,2016,2023/04/17,2023/04/14,"fantasy, queer, romance","fantasy (#300), queer (#135), romance (#54)",read,,,,1,0
28963596,The Raven and the Reindeer,T. Kingfisher,"Kingfisher, T.",,"=""""","=""""",4,4.23,Red Wombat Tea Co.,Kindle Edition,226,2016,2016,2023/04/14,2020/02/12,"fairy-tales, retellings, fantasy, queer, young-adult","fairy-tales (#19), retellings (#14), fantasy (#196), queer (#6), young-adult (#18)",read,,,,1,0
1214067,The Lady Killer,Masako Togawa,"Togawa, Masako",,"=""0345345487""","=""9780345345486""",3,3.65,Ballantine Books (Mm),Mass Market Paperback,192,1987,1963,2023/04/13,2021/06/13,"in-translation, mystery","in-translation (#100), mystery (#244)",read,,,,1,0
57473913,When Things Get Dark,Ellen Datlow,"Datlow, Ellen","Joyce Carol Oates, Karen Heuler, Elizabeth Hand, Benjamin Percy, Josh Malerman, Paul Tremblay, Richard Kadrey, Stephen Graham Jones, Cassandra Khaw, John Langan, Laird Barron, M. Rickert, Seanan McGuire, Genevieve Valentine","=""""","=""""",0,3.97,Titan Books ,Kindle Edition,382,2021,2021,,2023/04/12,"to-read, horror, short-stories-multiple-authors","to-read (#448), horror (#304), short-stories-multiple-authors (#48)",to-read,,,,0,0
131179,The Bird's Nest,Shirley Jackson,"Jackson, Shirley",,"=""1567230644""","=""9781567230642""",0,3.72,Yestermorrow,Hardcover,276,1993,1954,,2023/04/12,"to-read, gothic, horror","to-read (#447), gothic (#43), horror (#303)",to-read,,,,0,0
131190,The Road Through the Wall,Shirley Jackson,"Jackson, Shirley",,"=""044503128X""","=""9780445031289""",0,3.59,Popular Library,Hardcover,220,1976,1948,,2023/04/12,"to-read, gothic, horror","to-read (#446), gothic (#42), horror (#302)",to-read,,,,0,0
